GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US73430,73430,ZCTA5 73430,263,88,263,88,52,31,18,19,15,15,40,39,18,18,55,37,65,38,0,10
8600000US73931,73931,ZCTA5 73931,246,70,246,70,21,15,20,17,8,14,52,25,64,30,45,29,36,23,0,10
8600000US73949,73949,ZCTA5 73949,467,115,467,115,58,34,44,30,41,27,58,31,82,43,73,38,111,45,0,12
8600000US75001,75001,ZCTA5 75001,2055,448,2055,448,445,167,400,154,66,56,401,188,276,117,273,120,194,124,0,20
8600000US75002,75002,ZCTA5 75002,20986,878,20986,878,2885,418,1945,339,1166,273,3651,495,3797,486,3796,422,3746,369,0,30
8600000US75006,75006,ZCTA5 75006,12376,577,12376,577,2359,340,1363,237,695,176,2215,287,1952,292,1621,254,2171,302,0,27
8600000US75007,75007,ZCTA5 75007,12906,660,12906,660,1593,262,1210,234,680,160,1958,234,2170,258,2604,319,2691,336,0,30
8600000US75009,75009,ZCTA5 75009,2644,285,2644,285,260,105,217,107,237,114,594,166,470,174,458,148,408,164,0,18
8600000US75010,75010,ZCTA5 75010,6035,629,6035,629,903,238,393,157,276,134,896,219,1105,329,1338,421,1124,227,0,24
8600000US75013,75013,ZCTA5 75013,10458,553,10458,553,1434,265,988,242,555,182,2126,344,1980,314,1833,379,1542,266,0,27
8600000US75019,75019,ZCTA5 75019,11823,413,11823,413,1414,218,884,193,587,154,2104,267,1877,274,2447,309,2510,248,0,27
8600000US75020,75020,ZCTA5 75020,4951,399,4917,398,952,200,599,161,386,125,623,126,727,148,844,160,786,157,34,20
8600000US75021,75021,ZCTA5 75021,2099,320,2099,320,408,144,191,70,77,50,248,94,301,94,502,149,372,112,0,18
8600000US75022,75022,ZCTA5 75022,7902,464,7902,464,751,201,685,190,488,164,1355,314,1486,275,1830,294,1307,199,0,24
8600000US75023,75023,ZCTA5 75023,11163,565,11163,565,1785,261,1335,235,558,173,1846,298,1838,245,1676,242,2125,254,0,27
8600000US75024,75024,ZCTA5 75024,9996,675,9996,675,1927,353,972,244,581,185,1622,278,1969,408,1339,245,1586,222,0,27
8600000US75025,75025,ZCTA5 75025,14729,679,14729,679,1639,271,1358,258,911,245,2537,324,2593,342,2966,316,2725,325,0,30
8600000US75028,75028,ZCTA5 75028,13494,562,13494,562,1392,333,1108,221,638,196,1959,296,2703,324,2908,370,2786,323,0,27
8600000US75032,75032,ZCTA5 75032,8542,684,8542,684,917,229,641,202,594,182,1576,349,1551,315,1833,313,1430,253,0,24
8600000US75034,75034,ZCTA5 75034,24724,670,24724,670,4009,495,2880,380,1783,304,4909,527,4496,440,3948,521,2699,400,0,30
8600000US75035,75035,ZCTA5 75035,16990,582,16984,579,2605,381,1961,310,1261,270,3191,404,2902,359,2705,306,2359,280,6,12
8600000US75038,75038,ZCTA5 75038,6886,607,6886,607,1797,300,797,230,545,170,1504,249,1034,274,492,159,717,212,0,24
8600000US75039,75039,ZCTA5 75039,1586,300,1586,300,649,170,369,169,82,48,244,128,142,86,53,48,47,39,0,20
8600000US75040,75040,ZCTA5 75040,17574,894,17574,894,2839,345,2102,304,929,246,2898,328,2748,373,2632,370,3426,419,0,30
