GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under 6 years:,Margin of Error; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Margin of Error; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Child is native,Margin of Error; Total: - Under 6 years: - Living with two parents: - Child is native,Estimate; Total: - Under 6 years: - Living with two parents: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with two parents: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents native,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents native,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents foreign born:,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents foreign born:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is native,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is native,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent:,Margin of Error; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent:,Estimate; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Margin of Error; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Estimate; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with one parent:,Margin of Error; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Child is native,Margin of Error; Total: - Under 6 years: - Living with one parent: - Child is native,Estimate; Total: - Under 6 years: - Living with one parent: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with one parent: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with one parent: - Native parent,Margin of Error; Total: - Under 6 years: - Living with one parent: - Native parent,Estimate; Total: - Under 6 years: - Living with one parent: - Foreign-born parent:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Foreign-born parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is native,Margin of Error; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is native,Estimate; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is foreign born,Estimate; Total: - 6 to 17 years:,Margin of Error; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Margin of Error; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Child is native,Estimate; Total: - 6 to 17 years: - Living with two parents: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents native,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born:,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is native,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent:,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent:,Estimate; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Estimate; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with one parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Child is native,Estimate; Total: - 6 to 17 years: - Living with one parent: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with one parent: - Native parent,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Native parent,Estimate; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is native,Estimate; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is foreign born
8600000US73430,73430,ZCTA5 73430,269,77,89,46,69,42,69,42,0,9,69,42,0,9,0,9,0,9,0,9,0,9,0,9,20,21,20,21,0,9,20,21,0,9,0,9,0,9,180,62,160,60,160,60,0,9,160,60,0,9,0,9,0,9,0,9,0,9,0,9,20,25,20,25,0,9,20,25,0,9,0,9,0,9
8600000US73931,73931,ZCTA5 73931,204,62,39,21,37,20,37,20,0,9,25,18,8,13,8,13,0,9,4,5,4,5,0,9,2,4,2,4,0,9,2,4,0,9,0,9,0,9,165,56,132,55,132,55,0,9,130,55,2,5,2,5,0,9,0,9,0,9,0,9,33,28,33,28,0,9,33,28,0,9,0,9,0,9
8600000US73949,73949,ZCTA5 73949,390,97,135,51,89,44,89,44,0,11,76,42,3,6,3,6,0,11,10,11,10,11,0,11,46,33,46,33,0,11,16,19,30,35,30,35,0,11,255,85,216,83,184,76,32,27,119,61,76,54,53,44,23,23,21,16,12,14,9,13,39,27,27,23,12,18,27,23,12,18,0,11,12,18
8600000US75001,75001,ZCTA5 75001,1849,355,915,263,561,218,502,200,59,63,280,164,232,128,192,118,40,50,49,50,49,50,0,20,354,194,354,194,0,20,299,186,55,59,55,59,0,20,934,226,597,191,502,207,95,126,288,171,279,145,184,107,95,126,30,31,30,31,0,20,337,147,306,141,31,49,306,141,31,49,0,20,31,49
8600000US75002,75002,ZCTA5 75002,19372,846,5534,688,4887,706,4817,713,70,73,3283,646,1044,380,982,375,62,71,560,278,560,278,0,30,647,215,644,216,3,8,483,210,164,100,161,100,3,8,13838,772,11263,839,10716,871,547,229,7895,860,2342,456,1851,386,491,219,1026,353,985,349,41,46,2575,574,2508,564,67,92,2212,545,363,184,296,138,67,92
8600000US75006,75006,ZCTA5 75006,12032,616,4335,395,2846,326,2830,324,16,19,977,260,1520,244,1504,240,16,19,349,139,349,139,0,27,1489,296,1489,296,0,27,904,227,585,197,585,197,0,27,7697,496,5279,437,4463,431,816,225,1239,298,3417,409,2713,375,704,210,623,201,511,178,112,94,2418,367,2183,374,235,145,1070,243,1348,313,1113,313,235,145
8600000US75007,75007,ZCTA5 75007,12519,536,3457,408,2532,366,2439,369,93,55,1286,286,1017,204,929,196,88,53,229,102,229,102,0,30,925,246,925,246,0,30,778,220,147,101,147,101,0,30,9062,501,6353,547,5707,523,646,197,2946,339,2653,445,2090,406,563,183,754,235,741,234,13,21,2709,396,2571,379,138,81,2118,341,591,193,528,184,63,53
8600000US75009,75009,ZCTA5 75009,2428,303,715,181,572,169,572,169,0,18,488,163,47,53,47,53,0,18,37,47,37,47,0,18,143,116,143,116,0,18,57,52,86,114,86,114,0,18,1713,277,1321,301,1306,309,15,31,1165,301,31,61,16,31,15,31,125,97,125,97,0,18,392,173,392,173,0,18,347,172,45,60,45,60,0,18
8600000US75010,75010,ZCTA5 75010,5578,646,1496,312,1210,298,1177,293,33,39,530,188,567,210,534,204,33,39,113,73,113,73,0,24,286,198,286,198,0,24,173,152,113,112,113,112,0,24,4082,598,3051,555,2765,537,286,182,1340,431,1410,357,1124,331,286,182,301,239,301,239,0,24,1031,500,1031,500,0,24,747,396,284,309,284,309,0,24
