GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD08,HD02_VD08,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16
Id,Id2,Geography,Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Total:,Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Total:,Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Married-couple family -- - Total,Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Married-couple family -- - Total,Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Married-couple family -- - With own children under 18 years,Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Married-couple family -- - With own children under 18 years,Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Married-couple family -- - No own children under 18 years,Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Married-couple family -- - No own children under 18 years,Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Total,Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Total,"Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - Total","Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - With own children under 18 years","Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Male householder, no wife present -- - No own children under 18 years","Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - Total","Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - With own children under 18 years","Estimate; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children under 18 years","Margin of Error; Median family income in the past 12 months (in 2014 Inflation-adjusted dollars) -- - Other family -- - Female householder, no husband present -- - No own children under 18 years"
8600000US73430,73430,ZCTA5 73430,61250,5739,61250,10182,92868,32661,50568,14583,55000,33633,47000,33595,-,**,-,**,65500,95305,-,**,24821,80068
8600000US73931,73931,ZCTA5 73931,68641,4193,70208,14281,93750,53425,67813,19579,24500,32240,-,**,-,**,-,**,28125,53705,24875,55041,-,**
8600000US73949,73949,ZCTA5 73949,55625,9499,59500,8440,55179,27070,63523,10624,14250,25733,57917,87912,14625,22781,-,**,3438,15013,"2,500-",***,55750,15526
8600000US75001,75001,ZCTA5 75001,72289,10496,90548,12433,60529,7816,103487,13581,44219,9648,103839,49578,68516,75687,135667,96426,41360,6710,37609,20048,56774,22489
8600000US75002,75002,ZCTA5 75002,103543,6335,114581,4293,116276,3268,110824,4953,47414,6146,42778,8919,40645,14296,57833,30131,48945,8839,43732,7279,56950,13199
8600000US75006,75006,ZCTA5 75006,62169,3191,69266,3054,59725,6361,85109,5333,40610,5944,51818,9872,37226,16582,59830,10126,37535,6697,30566,4541,56719,14136
8600000US75007,75007,ZCTA5 75007,89222,3476,99157,4589,92221,5493,107069,10828,51285,6164,77500,15020,66250,37715,85060,18955,46939,3596,45500,11313,49107,6348
8600000US75009,75009,ZCTA5 75009,94549,14594,104939,15562,95789,14193,112473,12011,48125,23291,61250,16328,57891,81166,73068,87908,41250,19312,33720,29554,64236,14874
8600000US75010,75010,ZCTA5 75010,86947,4919,98892,9583,96042,12081,101052,14588,60025,15710,80219,6671,77625,84411,80883,7246,48539,12279,38064,11423,60952,42952
8600000US75013,75013,ZCTA5 75013,145997,11829,159416,10007,162317,13180,144056,17965,73659,25595,101092,17791,101019,16590,143333,191562,65391,16143,66016,13134,62226,58366
