GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US73430,73430,ZCTA5 73430,1225,175
8600000US73931,73931,ZCTA5 73931,646,127
8600000US73949,73949,ZCTA5 73949,1477,202
8600000US75001,75001,ZCTA5 75001,14128,285
8600000US75002,75002,ZCTA5 75002,68347,1076
8600000US75006,75006,ZCTA5 75006,49620,425
8600000US75007,75007,ZCTA5 75007,53513,1043
8600000US75009,75009,ZCTA5 75009,9409,776
8600000US75010,75010,ZCTA5 75010,24529,952
8600000US75013,75013,ZCTA5 75013,35568,999
8600000US75019,75019,ZCTA5 75019,40610,309
8600000US75020,75020,ZCTA5 75020,22325,722
8600000US75021,75021,ZCTA5 75021,7995,483
8600000US75022,75022,ZCTA5 75022,23626,685
8600000US75023,75023,ZCTA5 75023,47787,928
8600000US75024,75024,ZCTA5 75024,40843,964
8600000US75025,75025,ZCTA5 75025,53483,1251
8600000US75028,75028,ZCTA5 75028,45225,659
8600000US75032,75032,ZCTA5 75032,30877,834
8600000US75034,75034,ZCTA5 75034,85700,1169
8600000US75035,75035,ZCTA5 75035,56427,919
8600000US75038,75038,ZCTA5 75038,29643,1264
8600000US75039,75039,ZCTA5 75039,14724,772
8600000US75040,75040,ZCTA5 75040,60948,1565
8600000US75041,75041,ZCTA5 75041,32098,1283
8600000US75042,75042,ZCTA5 75042,40264,1604
8600000US75043,75043,ZCTA5 75043,60452,1559
8600000US75044,75044,ZCTA5 75044,40623,1261
8600000US75048,75048,ZCTA5 75048,22585,71
8600000US75050,75050,ZCTA5 75050,41765,1411
8600000US75051,75051,ZCTA5 75051,42711,1388
8600000US75052,75052,ZCTA5 75052,91137,1799
8600000US75054,75054,ZCTA5 75054,7366,754
8600000US75056,75056,ZCTA5 75056,53186,1186
8600000US75057,75057,ZCTA5 75057,13749,718
8600000US75058,75058,ZCTA5 75058,2872,355
8600000US75060,75060,ZCTA5 75060,47538,1313
8600000US75061,75061,ZCTA5 75061,53328,1535
8600000US75062,75062,ZCTA5 75062,47347,1739
8600000US75063,75063,ZCTA5 75063,38233,1099
8600000US75065,75065,ZCTA5 75065,11537,190
8600000US75067,75067,ZCTA5 75067,66088,1207
8600000US75068,75068,ZCTA5 75068,46216,1213
8600000US75069,75069,ZCTA5 75069,36245,1382
8600000US75070,75070,ZCTA5 75070,85063,1568
8600000US75071,75071,ZCTA5 75071,43547,1413
8600000US75074,75074,ZCTA5 75074,47916,1515
8600000US75075,75075,ZCTA5 75075,35558,866
