GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Under 6 years,Margin of Error; Income in the past 12 months below poverty level: - Under 6 years,Estimate; Income in the past 12 months below poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - 12 to 17 years,Estimate; Income in the past 12 months below poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months below poverty level: - 18 to 59 years,Estimate; Income in the past 12 months below poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - 60 to 74 years,Estimate; Income in the past 12 months below poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months below poverty level: - 75 to 84 years,Estimate; Income in the past 12 months below poverty level: - 85 years and over,Margin of Error; Income in the past 12 months below poverty level: - 85 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Under 6 years,Margin of Error; Income in the past 12 months at or above poverty level: - Under 6 years,Estimate; Income in the past 12 months at or above poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - 12 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months at or above poverty level: - 18 to 59 years,Estimate; Income in the past 12 months at or above poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - 60 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months at or above poverty level: - 75 to 84 years,Estimate; Income in the past 12 months at or above poverty level: - 85 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - 85 years and over
8600000US73430,73430,ZCTA5 73430,1313,213,89,45,9,14,0,9,0,9,60,38,15,15,5,8,0,9,1224,215,84,49,47,26,76,31,601,143,300,76,91,34,25,20
8600000US73931,73931,ZCTA5 73931,466,93,46,42,0,9,0,9,11,17,21,21,12,18,0,9,2,3,420,91,41,25,44,23,25,15,195,47,76,26,26,13,13,12
8600000US73949,73949,ZCTA5 73949,1434,219,179,77,40,36,19,18,5,8,87,40,22,17,5,8,1,2,1255,203,103,49,60,42,56,32,696,144,235,66,94,38,11,10
8600000US75001,75001,ZCTA5 75001,14617,291,1257,313,69,76,87,77,88,73,882,202,82,57,49,50,0,21,13360,424,612,190,539,228,403,159,10285,407,1216,222,238,81,67,48
8600000US75002,75002,ZCTA5 75002,69178,1192,4746,1204,529,281,823,300,566,237,2645,675,148,91,11,19,24,37,64432,1700,4636,518,7056,598,6571,545,37825,1271,6360,564,1677,324,307,108
8600000US75006,75006,ZCTA5 75006,50375,513,7466,1132,1180,341,1324,286,919,252,3589,563,346,101,60,31,48,40,42909,1241,2926,393,3267,390,3551,417,25578,974,5558,499,1587,266,442,136
8600000US75007,75007,ZCTA5 75007,53643,1333,4207,696,386,168,507,129,474,154,2412,494,331,141,69,35,28,27,49436,1405,3006,358,3374,329,4229,366,29779,1029,7164,464,1475,260,409,131
8600000US75009,75009,ZCTA5 75009,10410,769,1042,438,53,60,73,48,176,106,515,240,26,29,115,125,84,111,9368,832,822,396,691,228,857,219,5488,673,1112,281,334,124,64,54
8600000US75010,75010,ZCTA5 75010,27656,1098,1868,743,304,242,287,211,88,79,998,395,107,85,69,55,15,22,25788,1107,1606,367,1656,335,2420,427,17293,857,2386,410,349,139,78,60
