GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
8600000US73430,73430,ZCTA5 73430,972,131,27,32,0,10,0,10,0,10,0,10,0,10,5,7,0,10,0,10,0,10,16,23,39,27,13,14,22,18,4,7,324,76,40,21,92,39,165,54,37,23,134,55,27,25,23,24,4,7
8600000US73931,73931,ZCTA5 73931,431,62,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,4,7,5,8,0,10,7,7,4,5,15,14,2,5,127,39,26,17,40,35,80,32,26,15,83,28,10,11,2,3,0,10
8600000US73949,73949,ZCTA5 73949,1030,132,6,9,0,12,0,12,0,12,0,12,9,15,0,12,9,12,84,53,8,12,38,25,50,31,49,32,26,26,3,5,233,59,42,38,71,38,130,48,47,25,193,60,15,9,9,12,8,10
8600000US75001,75001,ZCTA5 75001,9978,574,19,31,0,20,0,20,0,20,0,20,61,89,32,51,0,20,146,92,86,100,12,22,437,254,39,42,87,84,0,20,1069,248,212,123,457,166,1917,404,381,138,3318,437,1439,317,232,101,34,37
8600000US75002,75002,ZCTA5 75002,40744,805,244,154,0,30,0,30,0,30,93,97,139,99,85,137,129,114,213,129,58,56,136,108,188,109,211,106,305,184,335,138,5156,566,990,272,3321,487,7494,618,3465,491,12670,935,4453,539,625,173,434,144
8600000US75006,75006,ZCTA5 75006,30892,627,840,218,0,27,0,27,60,44,114,83,335,148,180,89,356,150,1714,306,365,113,606,208,1911,378,488,168,432,126,413,128,5003,440,751,141,1566,232,4537,517,2041,298,6459,523,2326,285,315,134,80,51
8600000US75007,75007,ZCTA5 75007,34451,785,494,179,4,9,63,78,22,25,60,48,31,28,62,57,17,27,445,202,79,49,145,81,760,269,320,140,430,141,553,167,5864,541,805,201,2319,295,5692,478,2810,392,9935,598,2614,318,511,133,416,140
8600000US75009,75009,ZCTA5 75009,5695,456,0,18,0,18,0,18,0,18,0,18,0,18,10,23,0,18,117,78,25,34,0,18,100,82,40,35,20,25,108,110,1270,291,369,167,468,217,884,266,608,211,1230,266,393,163,35,34,18,31
8600000US75010,75010,ZCTA5 75010,16118,735,163,121,15,27,0,24,0,24,0,24,0,24,27,45,5,12,57,62,5,12,14,21,165,141,151,126,32,45,233,102,2963,517,296,171,1042,359,2442,496,1477,398,5206,589,1397,302,274,147,154,84
