GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In households:,Margin of Error; In households:,Estimate; In households: - Under 3 years,Margin of Error; In households: - Under 3 years,Estimate; In households: - 3 and 4 years,Margin of Error; In households: - 3 and 4 years,Estimate; In households: - 5 years,Margin of Error; In households: - 5 years,Estimate; In households: - 6 to 8 years,Margin of Error; In households: - 6 to 8 years,Estimate; In households: - 9 to 11 years,Margin of Error; In households: - 9 to 11 years,Estimate; In households: - 12 to 14 years,Margin of Error; In households: - 12 to 14 years,Estimate; In households: - 15 to 17 years,Margin of Error; In households: - 15 to 17 years,Estimate; In group quarters,Margin of Error; In group quarters
8600000US73430,73430,ZCTA5 73430,288,77,288,77,55,35,33,26,20,15,52,41,19,16,53,31,56,27,0,9
8600000US73931,73931,ZCTA5 73931,218,67,218,67,20,12,17,15,6,7,56,30,64,28,29,20,26,19,0,9
8600000US73949,73949,ZCTA5 73949,390,97,390,97,63,27,49,28,23,20,58,30,83,39,44,26,70,36,0,11
8600000US75001,75001,ZCTA5 75001,1888,357,1888,357,460,160,370,146,85,58,324,163,215,95,199,112,235,115,0,20
8600000US75002,75002,ZCTA5 75002,20174,777,20174,777,2926,461,1974,371,1067,273,3465,469,3528,410,3695,457,3519,406,0,30
8600000US75006,75006,ZCTA5 75006,12426,569,12426,569,2384,330,1461,280,633,165,2482,305,2008,258,1516,231,1942,264,0,27
8600000US75007,75007,ZCTA5 75007,12961,477,12961,477,1757,271,1226,224,715,184,1865,286,2192,244,2558,298,2648,330,0,30
8600000US75009,75009,ZCTA5 75009,2487,322,2487,322,237,111,197,100,281,107,531,149,336,141,524,156,381,159,0,18
8600000US75010,75010,ZCTA5 75010,5652,638,5652,638,798,221,452,162,246,138,765,223,965,304,1258,311,1168,273,0,24
8600000US75013,75013,ZCTA5 75013,10926,620,10926,620,1281,266,1098,265,634,197,2161,365,1973,316,2293,404,1486,314,0,27
8600000US75019,75019,ZCTA5 75019,11488,390,11488,390,1368,242,810,137,558,132,2026,239,1877,224,2356,334,2493,268,0,27
8600000US75020,75020,ZCTA5 75020,5046,435,5031,432,848,204,712,150,375,139,657,153,621,146,940,222,878,157,15,16
8600000US75021,75021,ZCTA5 75021,2153,319,2153,319,377,133,215,74,58,47,326,122,323,117,527,134,327,99,0,18
8600000US75022,75022,ZCTA5 75022,7602,499,7602,499,674,184,714,190,364,141,1423,265,1471,216,1626,246,1330,231,0,24
8600000US75023,75023,ZCTA5 75023,10679,591,10679,591,1747,237,1235,220,562,169,1624,224,1738,281,1639,275,2134,283,0,27
