GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under 6 years:,Margin of Error; Total: - Under 6 years:,Estimate; Total: - Under 6 years: - Living with two parents:,Margin of Error; Total: - Under 6 years: - Living with two parents:,Estimate; Total: - Under 6 years: - Living with two parents: - Child is native,Margin of Error; Total: - Under 6 years: - Living with two parents: - Child is native,Estimate; Total: - Under 6 years: - Living with two parents: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with two parents: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents native,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents native,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents foreign born:,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents foreign born:,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is native,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is native,Estimate; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent:,Margin of Error; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent:,Estimate; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Margin of Error; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Estimate; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with one parent:,Margin of Error; Total: - Under 6 years: - Living with one parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Child is native,Margin of Error; Total: - Under 6 years: - Living with one parent: - Child is native,Estimate; Total: - Under 6 years: - Living with one parent: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with one parent: - Child is foreign born,Estimate; Total: - Under 6 years: - Living with one parent: - Native parent,Margin of Error; Total: - Under 6 years: - Living with one parent: - Native parent,Estimate; Total: - Under 6 years: - Living with one parent: - Foreign-born parent:,Margin of Error; Total: - Under 6 years: - Living with one parent: - Foreign-born parent:,Estimate; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is native,Margin of Error; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is native,Estimate; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is foreign born,Margin of Error; Total: - Under 6 years: - Living with one parent: - Foreign-born parent: - Child is foreign born,Estimate; Total: - 6 to 17 years:,Margin of Error; Total: - 6 to 17 years:,Estimate; Total: - 6 to 17 years: - Living with two parents:,Margin of Error; Total: - 6 to 17 years: - Living with two parents:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Child is native,Estimate; Total: - 6 to 17 years: - Living with two parents: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents native,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born:,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born:,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is native,Estimate; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - Both parents foreign born: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent:,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent:,Estimate; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is native,Estimate; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with two parents: - One native and one foreign-born parent: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with one parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Child is native,Estimate; Total: - 6 to 17 years: - Living with one parent: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Child is foreign born,Estimate; Total: - 6 to 17 years: - Living with one parent: - Native parent,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Native parent,Estimate; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent:,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent:,Estimate; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is native,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is native,Estimate; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is foreign born,Margin of Error; Total: - 6 to 17 years: - Living with one parent: - Foreign-born parent: - Child is foreign born
8600000US73430,73430,ZCTA5 73430,212,73,82,39,56,34,56,34,0,9,56,34,0,9,0,9,0,9,0,9,0,9,0,9,26,25,26,25,0,9,26,25,0,9,0,9,0,9,130,57,110,56,110,56,0,9,110,56,0,9,0,9,0,9,0,9,0,9,0,9,20,22,20,22,0,9,20,22,0,9,0,9,0,9
8600000US73931,73931,ZCTA5 73931,231,74,51,22,48,21,48,21,0,9,30,14,14,17,14,17,0,9,4,5,4,5,0,9,3,4,3,4,0,9,3,4,0,9,0,9,0,9,180,66,140,62,140,62,0,9,121,57,19,24,19,24,0,9,0,9,0,9,0,9,40,29,40,29,0,9,40,29,0,9,0,9,0,9
8600000US73949,73949,ZCTA5 73949,344,105,111,42,88,39,88,39,0,11,65,35,5,7,5,7,0,11,18,15,18,15,0,11,23,24,23,24,0,11,16,21,7,11,7,11,0,11,233,86,222,86,183,80,39,29,110,65,88,54,56,43,32,27,24,17,17,13,7,11,11,12,7,11,4,6,7,11,4,6,0,11,4,6
8600000US75001,75001,ZCTA5 75001,1701,331,722,246,458,183,359,146,99,90,155,81,269,148,179,116,90,88,34,39,34,39,0,20,264,165,264,165,0,20,242,164,22,33,22,33,0,20,979,277,645,284,530,252,115,113,213,143,392,262,277,217,115,113,40,34,40,34,0,20,334,147,334,147,0,20,334,147,0,20,0,20,0,20
8600000US75002,75002,ZCTA5 75002,19964,840,5782,601,5068,601,4989,595,79,78,3380,561,937,350,863,336,74,78,751,310,751,310,0,30,714,237,710,235,4,9,577,227,137,109,133,107,4,9,14182,847,11785,828,11238,837,547,265,8225,846,2559,549,2055,407,504,256,1001,322,986,320,15,26,2397,512,2293,489,104,108,1877,439,520,257,416,213,104,108
8600000US75006,75006,ZCTA5 75006,12241,602,4644,471,3349,490,3303,484,46,56,1212,320,1634,314,1588,319,46,56,503,203,503,203,0,27,1295,358,1295,358,0,27,778,234,517,221,517,221,0,27,7597,503,5149,569,4492,499,657,206,1157,286,3336,524,2747,450,589,200,656,236,588,213,68,58,2448,444,2241,392,207,136,1079,240,1369,382,1162,312,207,136
8600000US75007,75007,ZCTA5 75007,12510,579,3428,358,2455,313,2382,311,73,48,1269,311,950,198,882,202,68,46,236,104,236,104,0,30,973,266,948,266,25,38,696,200,277,149,252,145,25,38,9082,483,6406,461,5788,401,618,187,3055,375,2656,407,2122,319,534,170,695,242,678,236,17,25,2676,371,2543,366,133,81,1962,355,714,213,658,207,56,52
8600000US75009,75009,ZCTA5 75009,2522,281,815,228,671,195,671,195,0,18,586,178,48,58,48,58,0,18,37,47,37,47,0,18,144,127,144,127,0,18,55,49,89,126,89,126,0,18,1707,255,1413,271,1396,275,17,26,1323,254,0,18,0,18,0,18,90,94,90,94,0,18,294,143,294,143,0,18,246,133,48,68,48,68,0,18
8600000US75010,75010,ZCTA5 75010,5356,630,1461,317,1178,285,1142,278,36,41,572,210,452,202,416,190,36,41,154,88,154,88,0,24,283,175,283,175,0,24,204,154,79,84,79,84,0,24,3895,538,3194,464,2854,490,340,209,1597,385,1339,349,999,319,340,209,258,156,258,156,0,24,701,340,683,340,18,26,516,278,185,184,167,182,18,26
