GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Under 6 years,Margin of Error; Income in the past 12 months below poverty level: - Under 6 years,Estimate; Income in the past 12 months below poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - 12 to 17 years,Estimate; Income in the past 12 months below poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months below poverty level: - 18 to 59 years,Estimate; Income in the past 12 months below poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - 60 to 74 years,Estimate; Income in the past 12 months below poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months below poverty level: - 75 to 84 years,Estimate; Income in the past 12 months below poverty level: - 85 years and over,Margin of Error; Income in the past 12 months below poverty level: - 85 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Under 6 years,Margin of Error; Income in the past 12 months at or above poverty level: - Under 6 years,Estimate; Income in the past 12 months at or above poverty level: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - 12 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - 12 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - 18 to 59 years,Margin of Error; Income in the past 12 months at or above poverty level: - 18 to 59 years,Estimate; Income in the past 12 months at or above poverty level: - 60 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - 60 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - 75 to 84 years,Margin of Error; Income in the past 12 months at or above poverty level: - 75 to 84 years,Estimate; Income in the past 12 months at or above poverty level: - 85 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - 85 years and over
8600000US73430,73430,ZCTA5 73430,1225,175,118,66,24,21,0,9,0,9,59,41,10,10,25,27,0,9,1107,175,77,39,62,33,89,40,506,125,300,71,60,32,13,11
8600000US73931,73931,ZCTA5 73931,635,124,26,19,0,9,0,9,0,9,9,9,12,18,2,3,3,3,609,122,51,22,94,41,86,45,283,56,73,32,17,11,5,5
8600000US73949,73949,ZCTA5 73949,1477,202,123,53,16,21,7,11,0,11,75,33,11,11,5,8,9,9,1354,193,95,37,108,52,118,52,760,130,206,58,56,30,11,8
8600000US75001,75001,ZCTA5 75001,14128,285,1414,448,139,129,60,68,101,70,993,307,80,63,27,39,14,23,12714,508,583,214,495,146,429,209,9575,508,1255,260,307,99,70,49
8600000US75002,75002,ZCTA5 75002,67916,1107,5288,1397,612,237,936,397,687,329,2875,735,141,111,16,25,21,34,62628,1616,5287,590,6509,677,6331,599,37454,1088,5250,607,1431,305,366,170
8600000US75006,75006,ZCTA5 75006,49242,437,6805,1284,1117,370,1053,330,794,203,3430,600,324,106,33,31,54,43,42437,1327,3627,468,3070,378,2907,370,25926,1011,5161,462,1343,237,403,115
8600000US75007,75007,ZCTA5 75007,53358,1074,3968,738,551,220,560,168,417,157,2058,406,305,132,45,32,32,30,49390,1096,3027,328,3573,313,4679,398,30137,802,6327,457,1311,238,336,132
8600000US75009,75009,ZCTA5 75009,9279,778,1268,460,197,157,102,76,178,109,582,270,31,44,110,96,68,78,8011,708,659,183,850,240,635,201,4689,564,906,250,213,91,59,43
8600000US75010,75010,ZCTA5 75010,24369,948,1461,667,263,192,246,185,72,67,767,355,67,76,32,44,14,21,22908,1009,1198,253,1411,322,2232,410,15692,777,1958,434,380,145,37,37
