GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
8600000US73430,73430,ZCTA5 73430,-,**
8600000US73931,73931,ZCTA5 73931,911,470
8600000US73949,73949,ZCTA5 73949,596,80
8600000US75001,75001,ZCTA5 75001,1218,38
8600000US75002,75002,ZCTA5 75002,1366,84
8600000US75006,75006,ZCTA5 75006,1051,27
8600000US75007,75007,ZCTA5 75007,1159,35
8600000US75009,75009,ZCTA5 75009,1335,338
8600000US75010,75010,ZCTA5 75010,1184,33
8600000US75013,75013,ZCTA5 75013,1388,63
8600000US75019,75019,ZCTA5 75019,1285,68
8600000US75020,75020,ZCTA5 75020,777,22
8600000US75021,75021,ZCTA5 75021,736,121
8600000US75022,75022,ZCTA5 75022,2208,579
8600000US75023,75023,ZCTA5 75023,1361,62
8600000US75024,75024,ZCTA5 75024,1255,38
8600000US75025,75025,ZCTA5 75025,1328,45
8600000US75028,75028,ZCTA5 75028,1671,64
8600000US75032,75032,ZCTA5 75032,1243,147
8600000US75034,75034,ZCTA5 75034,1232,29
8600000US75035,75035,ZCTA5 75035,1698,67
8600000US75038,75038,ZCTA5 75038,971,18
8600000US75039,75039,ZCTA5 75039,1359,39
8600000US75040,75040,ZCTA5 75040,1099,36
8600000US75041,75041,ZCTA5 75041,921,36
8600000US75042,75042,ZCTA5 75042,860,34
8600000US75043,75043,ZCTA5 75043,1022,47
8600000US75044,75044,ZCTA5 75044,1183,47
8600000US75048,75048,ZCTA5 75048,1227,125
8600000US75050,75050,ZCTA5 75050,958,21
8600000US75051,75051,ZCTA5 75051,876,22
8600000US75052,75052,ZCTA5 75052,1197,47
8600000US75054,75054,ZCTA5 75054,2091,403
8600000US75056,75056,ZCTA5 75056,1296,51
8600000US75057,75057,ZCTA5 75057,1128,30
8600000US75058,75058,ZCTA5 75058,977,90
8600000US75060,75060,ZCTA5 75060,886,26
8600000US75061,75061,ZCTA5 75061,864,15
8600000US75062,75062,ZCTA5 75062,935,24
8600000US75063,75063,ZCTA5 75063,1141,21
8600000US75065,75065,ZCTA5 75065,1182,148
8600000US75067,75067,ZCTA5 75067,1082,19
8600000US75068,75068,ZCTA5 75068,1498,93
8600000US75069,75069,ZCTA5 75069,971,29
8600000US75070,75070,ZCTA5 75070,1433,50
8600000US75071,75071,ZCTA5 75071,1455,137
8600000US75074,75074,ZCTA5 75074,1168,33
8600000US75075,75075,ZCTA5 75075,1152,30
8600000US75076,75076,ZCTA5 75076,863,112
8600000US75077,75077,ZCTA5 75077,1404,130
8600000US75078,75078,ZCTA5 75078,1256,145
8600000US75080,75080,ZCTA5 75080,1215,36
8600000US75081,75081,ZCTA5 75081,1227,39
8600000US75082,75082,ZCTA5 75082,1367,48
8600000US75087,75087,ZCTA5 75087,1278,68
8600000US75088,75088,ZCTA5 75088,1430,145
8600000US75089,75089,ZCTA5 75089,1562,150
