GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
8600000US73430,73430,ZCTA5 73430,34,17,0,9,4,6,0,9,0,9,0,9,0,9,0,9,0,9,3,5,27,15
8600000US73931,73931,ZCTA5 73931,49,24,6,5,18,16,0,9,0,9,0,9,0,9,0,9,3,6,5,6,17,13
8600000US73949,73949,ZCTA5 73949,151,42,5,6,21,16,27,19,8,10,23,18,4,6,4,6,2,4,6,7,51,29
8600000US75001,75001,ZCTA5 75001,6792,338,251,97,1154,231,1282,208,929,199,823,204,563,164,394,158,392,120,767,171,237,98
8600000US75002,75002,ZCTA5 75002,4679,454,85,62,311,147,685,206,728,198,391,153,548,193,310,156,437,159,963,281,221,112
8600000US75006,75006,ZCTA5 75006,8501,364,266,122,695,154,1150,202,1347,250,982,200,640,143,692,194,871,200,1682,272,176,68
8600000US75007,75007,ZCTA5 75007,5050,355,136,82,396,130,721,157,833,181,604,172,506,157,229,93,389,129,1062,182,174,89
8600000US75009,75009,ZCTA5 75009,702,263,66,105,123,96,47,51,14,23,122,120,86,75,94,122,116,142,12,10,22,16
8600000US75010,75010,ZCTA5 75010,6194,450,268,133,759,243,1077,300,890,250,661,246,556,217,274,117,645,259,870,291,194,118
8600000US75013,75013,ZCTA5 75013,3147,258,178,113,337,150,481,154,489,185,291,150,351,137,321,180,209,131,431,150,59,79
8600000US75019,75019,ZCTA5 75019,4531,291,266,101,585,152,776,196,579,174,643,174,337,149,359,132,322,115,561,142,103,73
8600000US75020,75020,ZCTA5 75020,3157,317,71,48,292,110,408,134,279,124,444,130,235,108,190,88,374,144,683,186,181,88
8600000US75021,75021,ZCTA5 75021,741,167,30,35,108,71,33,38,74,48,71,43,51,48,41,36,57,41,176,79,100,55
8600000US75022,75022,ZCTA5 75022,377,120,73,49,57,48,39,31,79,51,6,12,19,23,49,44,14,17,27,29,14,22
8600000US75023,75023,ZCTA5 75023,6684,372,269,118,866,182,1137,264,1067,244,773,181,546,166,366,134,368,119,1051,200,241,99
8600000US75024,75024,ZCTA5 75024,9998,322,515,137,1309,271,2141,285,1820,294,904,215,605,180,647,187,452,148,1178,261,427,179
8600000US75025,75025,ZCTA5 75025,5566,373,246,133,719,231,915,256,879,249,698,184,335,153,197,92,647,222,741,173,189,123
8600000US75028,75028,ZCTA5 75028,2664,308,75,48,340,118,552,179,406,138,217,88,271,129,70,60,182,84,436,146,115,46
8600000US75032,75032,ZCTA5 75032,1857,346,59,57,261,165,368,180,182,99,208,128,152,129,66,63,89,84,412,205,60,43
8600000US75034,75034,ZCTA5 75034,9658,506,509,156,1178,254,1495,267,1402,232,905,234,911,281,541,188,649,176,1698,277,370,117
8600000US75035,75035,ZCTA5 75035,4284,353,88,66,396,139,499,130,644,200,447,137,542,165,320,142,327,107,879,227,142,70
8600000US75038,75038,ZCTA5 75038,10476,427,478,185,1191,279,1907,289,1600,309,949,224,745,221,599,185,881,240,1951,320,175,74
8600000US75039,75039,ZCTA5 75039,7202,379,322,99,1406,225,1787,276,1225,271,893,262,309,133,293,144,251,114,540,161,176,98
8600000US75040,75040,ZCTA5 75040,5199,450,116,86,582,178,512,174,648,160,372,109,413,150,552,171,648,186,1191,266,165,87
8600000US75041,75041,ZCTA5 75041,4035,327,49,61,133,54,339,123,617,186,457,137,349,129,271,109,558,174,1148,271,114,51
8600000US75042,75042,ZCTA5 75042,5780,388,66,43,492,187,605,202,528,161,714,203,641,193,442,150,637,193,1438,260,217,118
8600000US75043,75043,ZCTA5 75043,8891,488,140,89,484,135,1159,272,1215,277,1101,240,790,227,623,159,969,264,2134,324,276,86
8600000US75044,75044,ZCTA5 75044,4993,469,42,39,331,141,639,192,788,215,737,228,431,175,331,170,531,212,831,216,332,127
8600000US75048,75048,ZCTA5 75048,965,313,68,100,75,65,178,133,56,47,132,78,148,200,81,91,76,60,113,97,38,38
8600000US75050,75050,ZCTA5 75050,8328,392,246,110,944,235,1383,276,1338,315,931,219,599,200,500,158,723,238,1224,248,440,146
8600000US75051,75051,ZCTA5 75051,6698,410,163,80,441,137,859,205,951,223,765,266,630,190,419,152,554,153,1599,285,317,130
8600000US75052,75052,ZCTA5 75052,7344,559,212,137,849,261,958,272,1132,294,951,242,431,203,781,230,575,197,1192,241,263,114
8600000US75054,75054,ZCTA5 75054,357,139,44,69,42,69,4,9,34,55,0,21,141,85,43,41,0,21,15,23,34,51
8600000US75056,75056,ZCTA5 75056,7390,606,276,157,815,286,1056,312,1066,295,1040,294,683,271,465,168,624,236,1196,328,169,82
8600000US75057,75057,ZCTA5 75057,3280,219,97,54,376,140,454,117,536,143,565,148,269,97,151,59,224,99,552,139,56,47
8600000US75058,75058,ZCTA5 75058,187,60,4,6,19,19,8,9,27,23,20,18,20,18,19,20,13,12,20,19,37,44
8600000US75060,75060,ZCTA5 75060,5374,350,149,86,413,109,788,223,977,227,490,146,508,160,296,117,431,133,1064,226,258,119
8600000US75061,75061,ZCTA5 75061,10773,370,352,115,831,199,1425,232,1609,247,1383,227,1048,195,865,205,941,193,1968,251,351,107
8600000US75062,75062,ZCTA5 75062,9330,472,218,107,745,182,1375,217,1635,313,976,251,968,192,592,154,894,212,1753,253,174,89
8600000US75063,75063,ZCTA5 75063,9391,353,254,129,1369,273,1915,298,1723,313,958,254,700,235,357,132,461,157,1407,242,247,112
8600000US75065,75065,ZCTA5 75065,1067,263,0,21,73,87,202,144,242,150,108,81,103,108,22,36,74,60,190,124,53,49
8600000US75067,75067,ZCTA5 75067,15356,512,247,109,1188,216,2398,328,2632,309,2161,307,1520,271,1174,222,1431,284,2258,359,347,133
8600000US75068,75068,ZCTA5 75068,3919,422,104,104,460,240,585,215,560,249,446,204,353,165,220,155,162,99,686,263,343,222
